open,close,low,high,vol,time
9146.5,9146.5,9146.5,9147.0,0.0,2020-07-01 04:53:00
9146.5,9146.5,9144.0,9146.5,0.0,2020-07-01 04:54:00
9146.5,9147.5,9146.5,9147.5,0.0,2020-07-01 04:55:00
9147.5,9147.5,9147.5,9147.5,0.0,2020-07-01 04:56:00
9147.5,9148.0,9146.0,9148.0,0.0,2020-07-01 04:57:00
9148.0,9149.5,9148.0,9150.0,0.0,2020-07-01 04:58:00
9149.0,9153.5,9149.0,9153.5,0.0,2020-07-01 04:59:00
9153.5,9151.0,9151.0,9153.5,0.0,2020-07-01 05:00:00
9151.0,9151.5,9150.5,9151.5,0.0,2020-07-01 05:01:00
9151.5,9153.0,9150.5,9153.0,777.0897,2020-07-01 05:02:00
9153.0,9154.5,9153.0,9154.5,0.0,2020-07-01 05:03:00
9154.5,9159.5,9154.5,9159.5,0.91545,2020-07-01 05:04:00
9159.5,9158.0,9158.0,9161.5,51832.2829,2020-07-01 05:05:00
9158.0,9157.5,9157.5,9159.0,0.0,2020-07-01 05:06:00
9157.5,9157.5,9157.5,9157.5,2935.8945,2020-07-01 05:07:00
9157.5,9157.0,9157.0,9157.5,0.0,2020-07-01 05:08:00
9157.0,9157.0,9157.0,9157.5,0.0,2020-07-01 05:09:00
9157.0,9158.0,9157.0,9158.0,0.0,2020-07-01 05:10:00
9158.0,9158.0,9158.0,9158.0,452.4052,2020-07-01 05:11:00
9158.0,9158.0,9158.0,9158.0,0.0,2020-07-01 05:12:00
9158.0,9158.0,9158.0,9158.0,0.0,2020-07-01 05:13:00
9158.0,9159.5,9158.0,9159.5,0.0,2020-07-01 05:14:00
9159.5,9159.5,9159.5,9159.5,0.0,2020-07-01 05:15:00
9159.5,9159.5,9158.0,9159.5,183.19,2020-07-01 05:16:00
9159.5,9159.5,9159.5,9159.5,0.0,2020-07-01 05:17:00
9159.5,9159.0,9159.0,9159.5,0.0,2020-07-01 05:18:00
9159.0,9158.5,9158.0,9159.0,148.3677,2020-07-01 05:19:00
9158.5,9158.5,9158.5,9158.5,0.0,2020-07-01 05:20:00
9158.5,9158.0,9158.0,9158.5,183.16,2020-07-01 05:21:00
9158.0,9159.0,9157.5,9159.0,712.4535,2020-07-01 05:22:00
9159.0,9159.0,9159.0,9159.0,0.0,2020-07-01 05:23:00
9159.0,9159.5,9159.0,9159.5,9.1595,2020-07-01 05:24:00
9159.5,9159.5,9159.5,9159.5,0.0,2020-07-01 05:25:00
9159.5,9166.0,9159.5,9166.0,0.0,2020-07-01 05:26:00
9166.0,9165.5,9165.5,9168.0,0.0,2020-07-01 05:27:00
9165.5,9165.5,9165.0,9166.5,0.0,2020-07-01 05:28:00
9165.5,9164.0,9163.0,9165.5,0.0,2020-07-01 05:29:00
9164.0,9164.0,9164.0,9164.0,0.0,2020-07-01 05:30:00
9164.0,9164.5,9164.0,9165.0,0.0,2020-07-01 05:31:00
9164.5,9165.5,9160.0,9165.5,0.0,2020-07-01 05:32:00
9165.5,9166.5,9165.5,9166.5,14665.6,2020-07-01 05:33:00
9166.5,9166.5,9166.0,9166.5,0.0,2020-07-01 05:34:00
9166.5,9166.5,9166.0,9166.5,0.0,2020-07-01 05:35:00
9166.5,9166.5,9166.5,9166.5,0.0,2020-07-01 05:36:00
9166.5,9166.5,9166.5,9166.5,0.0,2020-07-01 05:37:00
9166.5,9166.0,9166.0,9166.5,0.0,2020-07-01 05:38:00
9166.0,9164.5,9164.5,9166.0,0.0,2020-07-01 05:39:00
9164.5,9164.5,9164.5,9164.5,0.0,2020-07-01 05:40:00
9164.5,9163.5,9163.5,9164.5,0.0,2020-07-01 05:41:00
9163.5,9164.0,9163.5,9164.0,0.0,2020-07-01 05:42:00
9164.0,9164.0,9164.0,9164.0,0.0,2020-07-01 05:43:00
9164.0,9165.0,9164.0,9165.0,174.116,2020-07-01 05:44:00
9165.0,9167.0,9165.0,9167.0,0.0,2020-07-01 05:45:00
9167.0,9167.0,9167.0,9167.0,172.3396,2020-07-01 05:46:00
9167.0,9167.5,9167.0,9167.5,3.6668,2020-07-01 05:47:00
9167.5,9167.5,9167.5,9167.5,0.0,2020-07-01 05:48:00
9167.5,9170.5,9167.0,9170.5,0.0,2020-07-01 05:49:00
9170.5,9170.0,9169.0,9170.5,0.0,2020-07-01 05:50:00
9170.0,9170.5,9170.0,9170.5,0.0,2020-07-01 05:51:00
9170.5,9172.5,9168.5,9172.5,0.0,2020-07-01 05:52:00
9172.5,9172.5,9172.5,9172.5,399.00375,2020-07-01 05:53:00
9172.5,9173.0,9172.5,9173.0,0.0,2020-07-01 05:54:00
9173.0,9172.5,9172.5,9173.0,0.0,2020-07-01 05:55:00
9172.5,9164.5,9163.0,9172.5,54509.705,2020-07-01 05:56:00
9164.5,9164.5,9164.5,9164.5,0.0,2020-07-01 05:57:00
9164.5,9165.5,9164.5,9166.0,0.0,2020-07-01 05:58:00
9165.5,9163.0,9163.0,9165.5,0.0,2020-07-01 05:59:00
9163.0,9164.5,9162.0,9165.0,135427.0088,2020-07-01 06:00:00
9164.5,9164.5,9164.5,9164.5,0.0,2020-07-01 06:01:00
9164.5,9149.0,9147.5,9164.5,11503.97425,2020-07-01 06:02:00
9149.0,9145.5,9145.0,9149.5,34552.2573,2020-07-01 06:03:00
9145.5,9147.0,9145.0,9147.5,0.0,2020-07-01 06:04:00
9147.0,9147.0,9147.0,9147.0,0.0,2020-07-01 06:05:00
9147.0,9147.0,9147.0,9147.0,0.0,2020-07-01 06:06:00
9147.0,9147.0,9143.5,9147.5,0.0,2020-07-01 06:07:00
9147.0,9145.0,9145.0,9147.0,0.0,2020-07-01 06:08:00
